"Date Time","Date Time(RAW)","Traffic Total (volume)","Traffic Total (volume)(RAW)","Traffic Total (speed)","Traffic Total (speed)(RAW)","Traffic In (volume)","Traffic In (volume)(RAW)","Traffic In (speed)","Traffic In (speed)(RAW)","Traffic Out (volume)","Traffic Out (volume)(RAW)","Traffic Out (speed)","Traffic Out (speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"06/01/2017 00:00:00 - 00:05:00","42886.7118055556","72,255,636 KByte","73989771213.2439","2,059,061 kbit/s","257382583.2721","39,634,004 KByte","40585220533.6674","1,129,446 kbit/s","141180716.3658","32,621,632 KByte","33404550679.5764","929,615 kbit/s","116201866.9064","0 %","0.0000","96 %","0000009582"
"06/01/2017 00:05:00 - 00:10:00","42886.7152777778","70,939,209 KByte","72641749566.6070","1,937,242 kbit/s","242155308.9093","37,472,945 KByte","38372295631.4502","1,023,329 kbit/s","127916179.8502","33,466,264 KByte","34269453935.1568","913,913 kbit/s","114239129.0591","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:10:00 - 00:15:00","42886.7187500000","71,428,602 KByte","73142888029.0427","1,950,542 kbit/s","243817754.0219","36,915,359 KByte","37801327368.8049","1,008,069 kbit/s","126008624.8502","34,513,243 KByte","35341560660.2378","942,473 kbit/s","117809129.1718","0 %","0.0000","100 %","0000010000"
"06/01/2017 00:15:00 - 00:20:00","42886.7222222222","72,031,131 KByte","73759878570.3280","1,967,127 kbit/s","245890850.9862","36,628,616 KByte","37507702904.9620","1,000,305 kbit/s","125038180.1679","35,402,515 KByte","36252175665.3660","966,821 kbit/s","120852670.8183","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:20:00 - 00:25:00","42886.7256944444","69,875,312 KByte","71552319833.5145","1,908,253 kbit/s","238531585.9370","35,573,662 KByte","36427429723.4320","971,495 kbit/s","121436909.4357","34,301,650 KByte","35124890110.0825","936,757 kbit/s","117094676.5013","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:25:00 - 00:30:00","42886.7291666667","69,525,094 KByte","71193695750.9694","1,898,688 kbit/s","237336052.7752","35,896,172 KByte","36757680211.5693","980,303 kbit/s","122537854.4907","33,628,921 KByte","34436015539.4001","918,386 kbit/s","114798198.2845","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:30:00 - 00:35:00","42886.7326388889","65,901,124 KByte","67482751393.7349","1,799,660 kbit/s","224957501.8126","33,029,354 KByte","33822058910.4452","901,982 kbit/s","112747712.8823","32,871,770 KByte","33660692483.2897","897,678 kbit/s","112209788.9302","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:35:00 - 00:40:00","42886.7361111111","67,435,046 KByte","69053486955.0028","1,841,549 kbit/s","230193636.0924","33,722,135 KByte","34531465885.1327","920,900 kbit/s","115112560.4545","33,712,911 KByte","34522021069.8702","920,649 kbit/s","115081075.6379","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:40:00 - 00:45:00","42886.7395833333","66,874,052 KByte","68479028930.9964","1,826,290 kbit/s","228286258.3958","34,991,212 KByte","35831000837.2111","955,589 kbit/s","119448614.3188","31,882,840 KByte","32648028093.7852","870,701 kbit/s","108837644.0770","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:45:00 - 00:50:00","42886.7430555556","66,231,591 KByte","67821148701.6532","1,808,685 kbit/s","226085568.0434","33,674,561 KByte","34482750252.3601","919,601 kbit/s","114950164.1855","32,557,030 KByte","33338398449.2931","889,083 kbit/s","111135403.8579","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:50:00 - 00:55:00","42886.7465277778","64,040,778 KByte","65577756415.3097","1,748,915 kbit/s","218614382.8226","30,782,628 KByte","31521411374.9397","840,655 kbit/s","105081879.4377","33,258,149 KByte","34056345040.3700","908,260 kbit/s","113532503.3849","0 %","0.0000","100 %","0000009999"
"06/01/2017 00:55:00 - 01:00:00","42886.7500000000","64,405,101 KByte","65950823180.2188","1,758,865 kbit/s","219858063.0737","32,282,057 KByte","33056826517.6003","881,604 kbit/s","110200441.7695","32,123,044 KByte","32893996662.6185","877,261 kbit/s","109657621.3042","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:00:00 - 01:05:00","42886.7534722222","74,037,715 KByte","75814619713.3453","2,021,993 kbit/s","252749098.9243","38,768,055 KByte","39698488658.9687","1,058,768 kbit/s","132345941.6554","35,269,659 KByte","36116131054.3766","963,225 kbit/s","120403157.2689","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:05:00 - 01:10:00","42886.7569444444","85,877,421 KByte","87938479061.5742","2,345,261 kbit/s","293157579.2965","50,203,528 KByte","51408412625.1055","1,371,028 kbit/s","171378513.2683","35,673,893 KByte","36530066436.4687","974,233 kbit/s","121779066.0282","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:10:00 - 01:15:00","42886.7604166667","91,957,023 KByte","94163991598.3321","2,511,207 kbit/s","313900898.7210","55,473,972 KByte","56805347758.4069","1,514,910 kbit/s","189363783.4469","36,483,051 KByte","37358643839.9251","996,297 kbit/s","124537115.2741","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:15:00 - 01:20:00","42886.7638888889","73,905,116 KByte","75678838547.2392","2,018,304 kbit/s","252288023.9599","38,125,660 KByte","39040675916.9260","1,041,189 kbit/s","130148601.2499","35,779,456 KByte","36638162630.3132","977,115 kbit/s","122139422.7100","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:20:00 - 01:25:00","42886.7673611111","67,358,492 KByte","68975095886.2380","1,839,581 kbit/s","229947645.9736","34,026,744 KByte","34843385498.9240","929,281 kbit/s","116160106.3439","33,331,748 KByte","34131710387.3140","910,300 kbit/s","113787539.6297","0 %","0.0000","100 %","0000009999"
"06/01/2017 01:25:00 - 01:30:00","42886.7708333333","64,957,843 KByte","66516831215.3300","1,773,900 kbit/s","221737553.2213","31,900,953 KByte","32666575360.3180","871,167 kbit/s","108895844.2573","33,056,890 KByte","33850255855.0120","902,734 kbit/s","112841708.9640","0 %","0.0000","100 %","0000009999"
